day,btc,eth
2016-11-22,746.66,9.87
2016-11-23,741.52,9.8
2016-11-24,737.99,9.18
2016-11-25,739.74,9.4
2016-11-26,735.7,9.33
2016-11-27,729.24,8.98
2016-11-28,729.77,8.67
2016-11-29,732.37,8.14
2016-11-30,742.69,8.61
2016-12-01,754.0,8.45
2016-12-02,769.25,7.73
2016-12-03,766.98,7.86
2016-12-04,767.99,7.37
2016-12-05,752.0,6.75
2016-12-06,759.8,7.83
2016-12-07,764.34,8.35
2016-12-08,767.89,8.2
2016-12-09,773.22,8.47
2016-12-10,775.87,8.14
2016-12-11,771.05,8.23
2016-12-12,778.94,8.5
2016-12-13,776.18,8.41
2016-12-14,777.66,8.24
2016-12-15,776.16,7.83
2016-12-16,780.98,7.84
2016-12-17,788.57,7.85
2016-12-18,790.72,7.92
2016-12-19,790.81,7.64
2016-12-20,798.99,7.64
2016-12-21,834.5,7.91
2016-12-22,856.02,7.55
2016-12-23,917.26,7.13
2016-12-24,891.5,7.22
2016-12-25,896.12,7.19
2016-12-26,902.09,7.26
2016-12-27,925.2,7.16
2016-12-28,982.17,7.62
2016-12-29,970.72,8.29
2016-12-30,960.81,8.21
2016-12-31,973.37,8.16
2017-01-01,992.95,8.18
2017-01-02,1011.45,8.38
2017-01-03,1020.67,9.59
2017-01-04,1130.3,11.17
2017-01-05,1007.0,10.23
2017-01-06,895.71,10.14
2017-01-07,909.0,9.92
2017-01-08,923.33,10.5
2017-01-09,902.66,10.39
2017-01-10,907.0,10.63
2017-01-11,795.77,9.95
2017-01-12,812.25,9.8
2017-01-13,831.42,9.84
2017-01-14,828.0,9.86
2017-01-15,833.31,9.9
2017-01-16,834.41,9.66
2017-01-17,906.0,10.34
2017-01-18,887.99,10.23
2017-01-19,902.92,10.42
2017-01-20,894.31,10.62
2017-01-21,925.06,10.93
2017-01-22,931.22,10.77
2017-01-23,910.7,10.8
2017-01-24,887.0,10.57
2017-01-25,896.0,10.55
2017-01-26,917.02,10.6
2017-01-27,922.63,10.55
2017-01-28,924.98,10.58
2017-01-29,916.54,10.49
2017-01-30,923.23,10.6
2017-01-31,970.01,10.7
2017-02-01,992.75,10.72
2017-02-02,1008.38,10.82
2017-02-03,1018.0,10.99
2017-02-04,1035.54,11.41
2017-02-05,1016.32,11.26
2017-02-06,1022.58,11.34
2017-02-07,1053.96,11.51
2017-02-08,1056.7,11.41
2017-02-09,994.24,11.02
2017-02-10,1001.99,11.43
2017-02-11,1018.65,11.52
2017-02-12,1010.0,11.5
2017-02-13,1002.82,11.43
2017-02-14,1013.92,13.14
2017-02-15,1014.53,12.98
2017-02-16,1038.94,12.89
2017-02-17,1057.3,12.75
2017-02-18,1062.15,12.89
2017-02-19,1059.88,12.9
2017-02-20,1089.82,12.61
2017-02-21,1128.29,12.83
2017-02-22,1128.71,12.75
2017-02-23,1186.9,13.21
2017-02-24,1186.91,13.2
2017-02-25,1158.0,13.65
2017-02-26,1184.91,14.74
2017-02-27,1195.81,15.66
2017-02-28,1195.08,16.4
2017-03-01,1230.0,17.37
2017-03-02,1269.17,19.27
2017-03-03,1292.86,19.68
2017-03-04,1273.97,18.65
2017-03-05,1278.98,19.4
2017-03-06,1284.99,19.68
2017-03-07,1237.36,18.96
2017-03-08,1150.22,16.68
2017-03-09,1197.3,17.82
2017-03-10,1109.01,19.2
2017-03-11,1188.11,21.64
2017-03-12,1235.58,23.39
2017-03-13,1245.49,28.64
2017-03-14,1247.42,28.69
2017-03-15,1263.0,35.65
2017-03-16,1175.11,45.96
2017-03-17,1069.57,44.62
2017-03-18,970.0,33.64
2017-03-19,1019.49,43.21
2017-03-20,1044.96,42.31
2017-03-21,1114.42,42.36
2017-03-22,1034.57,41.37
2017-03-23,1025.14,42.99
2017-03-24,934.87,52.93
2017-03-25,963.72,50.5
2017-03-26,973.08,50.73
2017-03-27,1042.08,48.97
2017-03-28,1045.4,50.3
2017-03-29,1043.27,53.1
2017-03-30,1042.34,51.88
2017-03-31,1088.99,50.18
2017-04-01,1092.0,50.71
2017-04-02,1113.99,48.74
2017-04-03,1152.6,44.25
2017-04-04,1143.99,44.47
2017-04-05,1132.99,44.78
2017-04-06,1192.3,43.3
2017-04-07,1194.0,42.32
2017-04-08,1184.5,44.45
2017-04-09,1210.97,43.92
2017-04-10,1210.0,43.92
2017-04-11,1223.99,43.83
2017-04-12,1214.17,46.48
2017-04-13,1177.05,49.77
2017-04-14,1173.74,47.2
2017-04-15,1178.85,48.94
2017-04-16,1177.99,48.13
2017-04-17,1189.91,47.94
2017-04-18,1201.94,49.79
2017-04-19,1214.21,47.78
2017-04-20,1236.15,49.38
2017-04-21,1249.99,48.37
2017-04-22,1247.0,48.61
2017-04-23,1251.98,48.96
2017-04-24,1257.29,50.12
2017-04-25,1281.16,50.31
2017-04-26,1298.44,53.42
2017-04-27,1349.26,63.67
2017-04-28,1353.34,73.14
2017-04-29,1365.43,70.4
2017-04-30,1384.55,80.87
2017-05-01,1436.5,79.35
2017-05-02,1471.99,77.55
2017-05-03,1533.0,81.29
2017-05-04,1563.39,95.97
2017-05-05,1551.3,91.93
2017-05-06,1585.39,95.84
2017-05-07,1609.57,93.82
2017-05-08,1713.0,89.25
2017-05-09,1720.43,86.58
2017-05-10,1794.99,88.36
2017-05-11,1837.93,88.3
2017-05-12,1695.61,85.17
2017-05-13,1792.73,88.42
2017-05-14,1799.99,89.39
2017-05-15,1747.81,91.0
2017-05-16,1777.48,87.98
2017-05-17,1813.23,86.88
2017-05-18,1899.16,96.2
2017-05-19,1976.23,125.14
2017-05-20,2058.91,123.63
2017-05-21,2057.0,148.78
2017-05-22,2123.29,160.1
2017-05-23,2272.75,169.95
2017-05-24,2432.97,196.06
2017-05-25,2355.0,181.51
2017-05-26,2272.7,163.8
2017-05-27,2099.99,159.91
2017-05-28,2232.78,175.48
2017-05-29,2279.48,194.82
2017-05-30,2191.58,228.69
2017-05-31,2303.29,229.14
2017-06-01,2419.99,221.91
2017-06-02,2478.99,222.04
2017-06-03,2548.05,224.95
2017-06-04,2521.36,245.5
2017-06-05,2698.0,248.0
2017-06-06,2871.29,264.22
2017-06-07,2685.64,255.68
2017-06-08,2799.73,258.64
2017-06-09,2811.39,279.38
2017-06-10,2931.15,340.2
2017-06-11,2998.98,343.01
2017-06-12,2655.71,397.37
2017-06-13,2709.01,388.0
2017-06-14,2432.21,341.7
2017-06-15,2409.98,343.71
2017-06-16,2480.43,354.26
2017-06-17,2634.94,368.98
2017-06-18,2515.25,351.85
2017-06-19,2596.98,358.71
2017-06-20,2725.08,350.94
2017-06-21,2643.35,325.41
2017-06-22,2679.99,320.02
2017-06-23,2690.76,326.99
2017-06-24,2574.84,304.5
2017-06-25,2505.61,278.49
2017-06-26,2407.91,252.99
2017-06-27,2575.75,287.23
2017-06-28,2553.12,315.32
2017-06-29,2530.0,292.95
2017-06-30,2455.19,280.04
2017-07-01,2423.63,263.12
2017-07-02,2516.66,285.0
2017-07-03,2542.41,276.37
2017-07-04,2602.0,269.2
2017-07-05,2616.96,266.27
2017-07-06,2604.84,266.01
2017-07-07,2501.15,241.28
2017-07-08,2561.11,246.64
2017-07-09,2508.99,238.81
2017-07-10,2331.05,202.86
2017-07-11,2310.01,190.57
2017-07-12,2383.42,224.04
2017-07-13,2340.0,205.0
2017-07-14,2217.24,197.23
2017-07-15,1964.31,167.72
2017-07-16,1911.78,155.68
2017-07-17,2235.19,190.87
2017-07-18,2308.15,227.01
2017-07-19,2258.99,194.74
2017-07-20,2873.48,226.06
2017-07-21,2657.45,216.6
2017-07-22,2825.27,230.69
2017-07-23,2754.28,228.31
2017-07-24,2762.26,225.96
2017-07-25,2564.0,203.78
2017-07-26,2525.99,203.23
2017-07-27,2664.99,202.94
2017-07-28,2786.07,190.72
2017-07-29,2700.21,205.9
2017-07-30,2723.99,196.95
2017-07-31,2856.88,200.82
2017-08-01,2732.59,225.73
2017-08-02,2699.9,217.92
2017-08-03,2787.02,224.0
2017-08-04,2857.34,220.72
2017-08-05,3243.49,251.85
2017-08-06,3222.22,263.96
2017-08-07,3398.23,269.9
2017-08-08,3422.43,295.95
2017-08-09,3342.8,295.26
2017-08-10,3444.98,300.51
2017-08-11,3656.15,309.65
2017-08-12,3874.0,308.35
2017-08-13,4060.47,296.66
2017-08-14,4320.6,299.16
2017-08-15,4159.93,286.71
2017-08-16,4370.01,300.45
2017-08-17,4280.01,300.67
2017-08-18,4101.72,292.87
2017-08-19,4157.41,293.58
2017-08-20,4050.99,297.79
2017-08-21,4002.0,322.0
2017-08-22,4092.0,314.19
2017-08-23,4143.49,317.5
2017-08-24,4312.03,324.56
2017-08-25,4360.0,330.14
2017-08-26,4344.32,332.99
2017-08-27,4340.11,348.2
2017-08-28,4384.99,347.54
2017-08-29,4599.0,372.48
2017-08-30,4581.98,384.1
2017-08-31,4743.94,389.2
2017-09-01,4947.99,392.87
2017-09-02,4649.99,354.87
2017-09-03,4626.05,353.06
2017-09-04,4498.25,316.86
2017-09-05,4432.51,320.08
2017-09-06,4616.18,339.38
